Favourite,State,StateAbbv,Exercise,Good,Obese,Overweight,PovertyRate,mfr,Serve,Type,% from sugar,%calories from fat,calories,carbo,cups,fat,fiber,potass,protein,rating,shelf,sodium,sugars,vitamins,weight,
Fiber One,Wisconsin,WI,80.6,37.7,25.3,37,10.2,General Mills,C,Health,0,15,60,25,1.5,1,14.2,180,2,41.50354,2,105,0,13,30,
Great Grains,Hawaii,HI,82,43.2,21.7,35.1,11.5,Great Grains,Post,C,Health,21.05263158,16.57894737,190,37,0.7,4,4,,4,35,3,115,10,25,50
Honey Nut Cheerios,Oregon,OR,82.7,37.9,26.3,35.7,12.7,General Mills,C,Kids,36.36363636,8.181818182,110,11.5,0.75,1,1.5,90,3,31.072217,1,250,10,25,1,
Kashi,Montana,MT,80.4,38.2,22.6,39.2,13.4,,,,,,,,,,,,,,,,,,,
Maypo,Washington,WA,82.4,37.9,25.9,36.2,11.2,Homestat,H,Regular,12,9,100,16,1,1,0,95,4,54.850917,2,0,3,25,1,
Nature Valley,Missouri,MO,74.5,36.7,28.2,35.1,14.6,,,,,,,,,,,,,,,,,,,
Oreo O's,Maine,ME,79.7,37,25.2,37.7,12,,,,,,,,,,,,,,,,,,,
Oreo O's,North Dakota,ND,77.5,35.1,27,37.9,11.6,,,,,,,,,,,,,,,,,,,
Quaker Oatmeal Squares,Idaho,ID,80.4,36.9,25.1,38,13.3,Quaker,H,Health,-4,18,100,-1,0.67,2,2.7,110,5,50.828392,1,0,-1,0,1,
Raisin Bran,Arkansas,AR,71.9,34.4,29.3,36.3,16.5,Kellogg,C,Regular,40,7.5,120,14,0.75,1,5,240,3,39.259197,2,210,12,25,1.33,
Rice Krispies,Arizona,AZ,77.6,37.3,25.8,36.8,19.2,Kellogg,C,Kids,10.90909091,0,110,22,1,0,0,35,2,40.560159,1,290,3,25,1,
Rice Krispies,Kansas,KS,77,36.2,27.7,36.1,13.6,Kellogg,C,Kids,10.90909091,0,110,22,1,0,0,35,2,40.560159,1,290,3,25,1,
Rice Krispies,New Hampshire,NH,80.9,38.2,25.1,36.7,7.1,Kellogg,C,Kids,10.90909091,0,110,22,1,0,0,35,2,40.560159,1,290,3,25,1,
Rice Krispies,Rhode Island,RI,76.6,39.2,21.7,39.1,13.1,Kellogg,C,Kids,10.90909091,0,110,22,1,0,0,35,2,40.560159,1,290,3,25,1,
Shredded Wheat,Alaska,AK,80,34.8,28.2,36.9,10.8,Nabisco,C,Health,0,0,80,16,1,0,3,95,2,68.235885,1,0,0,0,0.83,
Special K,Alabama,AL,70.2,33.4,30.9,35.7,16.1,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,California,CA,76.9,41,23.3,35.7,15.4,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,DC,DC,77.9,34.9,28.2,36.8,11.3,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Florida,FL,74.6,37.9,24.1,38,14.6,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Illinois,IL,77,37,25.6,37.4,13.2,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Iowa,IA,77.9,35.3,27.7,37,10.2,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Michigan,MI,79.2,35.7,28.2,36.1,14.2,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,New Mexico,NM,78.3,39.2,25.1,35.7,19.1,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,New York,NY,75.6,38,25.5,36.4,15.3,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Oklahoma,OK,70.4,34.9,28.8,36.3,14.3,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Pennsylvania,PA,76.6,37.4,27.8,34.9,11.4,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,South Carolina,SC,75.2,34.7,29,36.3,14.9,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Texas,TX,71.7,34.3,28.6,37.2,17.2,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Utah,UT,80.5,42.1,22.4,35.6,9.1,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Vermont,VT,81.7,41.2,21.9,36.9,9.7,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Special K,Virginia,VA,78.4,38.2,25.3,36.6,10.6,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1,
Thin Mint Cereal,Massachusetts,MA,78.9,41.1,21.7,37.2,10.9,Girl Scouts,C,Kids,30,22.5,120,22,0.8,3,1,70,1,42,3,90,9,15,28,
Thin Mint Cereal,Mississippi,MS,68.2,31.9,32.6,35.5,21.3,Girl Scouts,C,Kids,30,22.5,120,22,0.8,3,1,70,1,42,3,90,9,15,28,
Vanilla Coconut,Delaware,DE,78.7,44.7,22.2,33.1,18.1,Ketologie,C,Health,3.333333333,60,120,2,0.7,8,6,0,8,,,60,1,7,60,
