YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Education,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2013,2013,AZ,Arizona,42.5,Less than high school,"(34.865970280000454, -111.76381127699972)",Less than high school,EDU,EDUHS
2013,2013,AZ,Arizona,27.3,High school graduate,"(34.865970280000454, -111.76381127699972)",High school graduate,EDU,EDUHSGRAD
2013,2013,AZ,Arizona,19.2,College graduate,"(34.865970280000454, -111.76381127699972)",College graduate,EDU,EDUCOGRAD
2014,2014,AZ,Arizona,32.1,Some college or technical school,"(34.865970280000454, -111.76381127699972)",Some college or technical school,EDU,EDUCOTEC
2014,2014,AZ,Arizona,32.1,Less than high school,"(34.865970280000454, -111.76381127699972)",Less than high school,EDU,EDUHS
2014,2014,AZ,Arizona,29.8,High school graduate,"(34.865970280000454, -111.76381127699972)",High school graduate,EDU,EDUHSGRAD
2014,2014,AZ,Arizona,21.6,College graduate,"(34.865970280000454, -111.76381127699972)",College graduate,EDU,EDUCOGRAD
2015,2015,AZ,Arizona,30.3,Some college or technical school,"(34.865970280000454, -111.76381127699972)",Some college or technical school,EDU,EDUCOTEC
2015,2015,AZ,Arizona,37.5,Less than high school,"(34.865970280000454, -111.76381127699972)",Less than high school,EDU,EDUHS
2015,2015,AZ,Arizona,28.2,High school graduate,"(34.865970280000454, -111.76381127699972)",High school graduate,EDU,EDUHSGRAD
2015,2015,AZ,Arizona,21,College graduate,"(34.865970280000454, -111.76381127699972)",College graduate,EDU,EDUCOGRAD
2011,2011,AR,Arkansas,31,Some college or technical school,"(34.74865012400045, -92.27449074299966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AR,Arkansas,31.1,Less than high school,"(34.74865012400045, -92.27449074299966)",Less than high school,EDU,EDUHS
2011,2011,AR,Arkansas,33,High school graduate,"(34.74865012400045, -92.27449074299966)",High school graduate,EDU,EDUHSGRAD
2011,2011,AR,Arkansas,26.4,College graduate,"(34.74865012400045, -92.27449074299966)",College graduate,EDU,EDUCOGRAD
2012,2012,AR,Arkansas,32.7,Some college or technical school,"(34.74865012400045, -92.27449074299966)",Some college or technical school,EDU,EDUCOTEC
2012,2012,AR,Arkansas,38.9,Less than high school,"(34.74865012400045, -92.27449074299966)",Less than high school,EDU,EDUHS
2012,2012,AR,Arkansas,36,High school graduate,"(34.74865012400045, -92.27449074299966)",High school graduate,EDU,EDUHSGRAD
2012,2012,AR,Arkansas,30.7,College graduate,"(34.74865012400045, -92.27449074299966)",College graduate,EDU,EDUCOGRAD
2013,2013,AR,Arkansas,34.5,Some college or technical school,"(34.74865012400045, -92.27449074299966)",Some college or technical school,EDU,EDUCOTEC
2013,2013,AR,Arkansas,39.6,Less than high school,"(34.74865012400045, -92.27449074299966)",Less than high school,EDU,EDUHS
2013,2013,AR,Arkansas,36,High school graduate,"(34.74865012400045, -92.27449074299966)",High school graduate,EDU,EDUHSGRAD
2013,2013,AR,Arkansas,27.2,College graduate,"(34.74865012400045, -92.27449074299966)",College graduate,EDU,EDUCOGRAD
2014,2014,AR,Arkansas,37.4,Some college or technical school,"(34.74865012400045, -92.27449074299966)",Some college or technical school,EDU,EDUCOTEC
2014,2014,AR,Arkansas,37,Less than high school,"(34.74865012400045, -92.27449074299966)",Less than high school,EDU,EDUHS
2014,2014,AR,Arkansas,38,High school graduate,"(34.74865012400045, -92.27449074299966)",High school graduate,EDU,EDUHSGRAD
2014,2014,AR,Arkansas,28.7,College graduate,"(34.74865012400045, -92.27449074299966)",College graduate,EDU,EDUCOGRAD
2015,2015,AR,Arkansas,36.9,Some college or technical school,"(34.74865012400045, -92.27449074299966)",Some college or technical school,EDU,EDUCOTEC
2015,2015,AR,Arkansas,36.2,Less than high school,"(34.74865012400045, -92.27449074299966)",Less than high school,EDU,EDUHS
2015,2015,AR,Arkansas,33.6,High school graduate,"(34.74865012400045, -92.27449074299966)",High school graduate,EDU,EDUHSGRAD
2015,2015,AR,Arkansas,30.9,College graduate,"(34.74865012400045, -92.27449074299966)",College graduate,EDU,EDUCOGRAD
2011,2011,CA,California,24,Some college or technical school,"(37.63864012300047, -120.99999953799971)",Some college or technical school,EDU,EDUCOTEC
2011,2011,CA,California,32.9,Less than high school,"(37.63864012300047, -120.99999953799971)",Less than high school,EDU,EDUHS
2011,2011,CA,California,26.4,High school graduate,"(37.63864012300047, -120.99999953799971)",High school graduate,EDU,EDUHSGRAD
2011,2011,CA,California,15.3,College graduate,"(37.63864012300047, -120.99999953799971)",College graduate,EDU,EDUCOGRAD
2012,2012,CA,California,26.3,Some college or technical school,"(37.63864012300047, -120.99999953799971)",Some college or technical school,EDU,EDUCOTEC
2012,2012,CA,California,34.8,Less than high school,"(37.63864012300047, -120.99999953799971)",Less than high school,EDU,EDUHS
2012,2012,CA,California,26.4,High school graduate,"(37.63864012300047, -120.99999953799971)",High school graduate,EDU,EDUHSGRAD
2012,2012,CA,California,16,College graduate,"(37.63864012300047, -120.99999953799971)",College graduate,EDU,EDUCOGRAD
2013,2013,CA,California,26.4,Some college or technical school,"(37.63864012300047, -120.99999953799971)",Some college or technical school,EDU,EDUCOTEC
2013,2013,CA,California,34.3,Less than high school,"(37.63864012300047, -120.99999953799971)",Less than high school,EDU,EDUHS
2013,2013,CA,California,24.5,High school graduate,"(37.63864012300047, -120.99999953799971)",High school graduate,EDU,EDUHSGRAD
2013,2013,CA,California,14.3,College graduate,"(37.63864012300047, -120.99999953799971)",College graduate,EDU,EDUCOGRAD
2014,2014,CA,California,26.1,Some college or technical school,"(37.63864012300047, -120.99999953799971)",Some college or technical school,EDU,EDUCOTEC
2014,2014,CA,California,34.2,Less than high school,"(37.63864012300047, -120.99999953799971)",Less than high school,EDU,EDUHS
2014,2014,CA,California,25,High school graduate,"(37.63864012300047, -120.99999953799971)",High school graduate,EDU,EDUHSGRAD
2014,2014,CA,California,17.2,College graduate,"(37.63864012300047, -120.99999953799971)",College graduate,EDU,EDUCOGRAD
2015,2015,CA,California,25.3,Some college or technical school,"(37.63864012300047, -120.99999953799971)",Some college or technical school,EDU,EDUCOTEC
2015,2015,CA,California,33.9,Less than high school,"(37.63864012300047, -120.99999953799971)",Less than high school,EDU,EDUHS
2015,2015,CA,California,26.6,High school graduate,"(37.63864012300047, -120.99999953799971)",High school graduate,EDU,EDUHSGRAD
2015,2015,CA,California,15.1,College graduate,"(37.63864012300047, -120.99999953799971)",College graduate,EDU,EDUCOGRAD
2011,2011,CO,Colorado,22.3,Some college or technical school,"(38.843840757000464, -106.13361092099967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,CO,Colorado,25.7,Less than high school,"(38.843840757000464, -106.13361092099967)",Less than high school,EDU,EDUHS
2011,2011,CO,Colorado,23.5,High school graduate,"(38.843840757000464, -106.13361092099967)",High school graduate,EDU,EDUHSGRAD
2011,2011,CO,Colorado,15.6,College graduate,"(38.843840757000464, -106.13361092099967)",College graduate,EDU,EDUCOGRAD
2012,2012,CO,Colorado,21.9,Some college or technical school,"(38.843840757000464, -106.13361092099967)",Some college or technical school,EDU,EDUCOTEC
2012,2012,CO,Colorado,25.6,Less than high school,"(38.843840757000464, -106.13361092099967)",Less than high school,EDU,EDUHS
2012,2012,CO,Colorado,23.1,High school graduate,"(38.843840757000464, -106.13361092099967)",High school graduate,EDU,EDUHSGRAD
2012,2012,CO,Colorado,15.7,College graduate,"(38.843840757000464, -106.13361092099967)",College graduate,EDU,EDUCOGRAD
2013,2013,CO,Colorado,24.1,Some college or technical school,"(38.843840757000464, -106.13361092099967)",Some college or technical school,EDU,EDUCOTEC
2013,2013,CO,Colorado,28.8,Less than high school,"(38.843840757000464, -106.13361092099967)",Less than high school,EDU,EDUHS
2013,2013,CO,Colorado,21.7,High school graduate,"(38.843840757000464, -106.13361092099967)",High school graduate,EDU,EDUHSGRAD
2013,2013,CO,Colorado,15.8,College graduate,"(38.843840757000464, -106.13361092099967)",College graduate,EDU,EDUCOGRAD
2014,2014,CO,Colorado,23.7,Some college or technical school,"(38.843840757000464, -106.13361092099967)",Some college or technical school,EDU,EDUCOTEC
2014,2014,CO,Colorado,26.3,Less than high school,"(38.843840757000464, -106.13361092099967)",Less than high school,EDU,EDUHS
2014,2014,CO,Colorado,23.3,High school graduate,"(38.843840757000464, -106.13361092099967)",High school graduate,EDU,EDUHSGRAD
2014,2014,CO,Colorado,16.2,College graduate,"(38.843840757000464, -106.13361092099967)",College graduate,EDU,EDUCOGRAD
2015,2015,CO,Colorado,21.8,Some college or technical school,"(38.843840757000464, -106.13361092099967)",Some college or technical school,EDU,EDUCOTEC
2015,2015,CO,Colorado,28.8,Less than high school,"(38.843840757000464, -106.13361092099967)",Less than high school,EDU,EDUHS
2015,2015,CO,Colorado,22.5,High school graduate,"(38.843840757000464, -106.13361092099967)",High school graduate,EDU,EDUHSGRAD
2015,2015,CO,Colorado,14.7,College graduate,"(38.843840757000464, -106.13361092099967)",College graduate,EDU,EDUCOGRAD
2011,2011,CT,Connecticut,26.4,Some college or technical school,"(41.56266102000046, -72.64984095199964)",Some college or technical school,EDU,EDUCOTEC
2011,2011,CT,Connecticut,31.2,Less than high school,"(41.56266102000046, -72.64984095199964)",Less than high school,EDU,EDUHS
2011,2011,CT,Connecticut,29,High school graduate,"(41.56266102000046, -72.64984095199964)",High school graduate,EDU,EDUHSGRAD
2011,2011,CT,Connecticut,16.7,College graduate,"(41.56266102000046, -72.64984095199964)",College graduate,EDU,EDUCOGRAD
2012,2012,CT,Connecticut,28.3,Some college or technical school,"(41.56266102000046, -72.64984095199964)",Some college or technical school,EDU,EDUCOTEC
2012,2012,CT,Connecticut,33,Less than high school,"(41.56266102000046, -72.64984095199964)",Less than high school,EDU,EDUHS
2012,2012,CT,Connecticut,29.2,High school graduate,"(41.56266102000046, -72.64984095199964)",High school graduate,EDU,EDUHSGRAD
2012,2012,CT,Connecticut,17.8,College graduate,"(41.56266102000046, -72.64984095199964)",College graduate,EDU,EDUCOGRAD
2013,2013,CT,Connecticut,26.9,Some college or technical school,"(41.56266102000046, -72.64984095199964)",Some college or technical school,EDU,EDUCOTEC
2013,2013,CT,Connecticut,29.8,Less than high school,"(41.56266102000046, -72.64984095199964)",Less than high school,EDU,EDUHS
2013,2013,CT,Connecticut,28.5,High school graduate,"(41.56266102000046, -72.64984095199964)",High school graduate,EDU,EDUHSGRAD
2013,2013,CT,Connecticut,18.6,College graduate,"(41.56266102000046, -72.64984095199964)",College graduate,EDU,EDUCOGRAD
2014,2014,CT,Connecticut,28.7,Some college or technical school,"(41.56266102000046, -72.64984095199964)",Some college or technical school,EDU,EDUCOTEC
2014,2014,CT,Connecticut,30.7,Less than high school,"(41.56266102000046, -72.64984095199964)",Less than high school,EDU,EDUHS
2014,2014,CT,Connecticut,29.2,High school graduate,"(41.56266102000046, -72.64984095199964)",High school graduate,EDU,EDUHSGRAD
2014,2014,CT,Connecticut,20.1,College graduate,"(41.56266102000046, -72.64984095199964)",College graduate,EDU,EDUCOGRAD
2015,2015,CT,Connecticut,26,Some college or technical school,"(41.56266102000046, -72.64984095199964)",Some college or technical school,EDU,EDUCOTEC
2015,2015,CT,Connecticut,34.5,Less than high school,"(41.56266102000046, -72.64984095199964)",Less than high school,EDU,EDUHS
2015,2015,CT,Connecticut,28.9,High school graduate,"(41.56266102000046, -72.64984095199964)",High school graduate,EDU,EDUHSGRAD
2015,2015,CT,Connecticut,18.8,College graduate,"(41.56266102000046, -72.64984095199964)",College graduate,EDU,EDUCOGRAD
2011,2011,DE,Delaware,30.9,Some college or technical school,"(39.008830667000495, -75.57774116799965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,DE,Delaware,35.2,Less than high school,"(39.008830667000495, -75.57774116799965)",Less than high school,EDU,EDUHS
2011,2011,DE,Delaware,27.9,High school graduate,"(39.008830667000495, -75.57774116799965)",High school graduate,EDU,EDUHSGRAD
2011,2011,DE,Delaware,24.1,College graduate,"(39.008830667000495, -75.57774116799965)",College graduate,EDU,EDUCOGRAD
2012,2012,DE,Delaware,31.2,Some college or technical school,"(39.008830667000495, -75.57774116799965)",Some college or technical school,EDU,EDUCOTEC
2012,2012,DE,Delaware,27.6,Less than high school,"(39.008830667000495, -75.57774116799965)",Less than high school,EDU,EDUHS
2012,2012,DE,Delaware,27.8,High school graduate,"(39.008830667000495, -75.57774116799965)",High school graduate,EDU,EDUHSGRAD
2012,2012,DE,Delaware,20.5,College graduate,"(39.008830667000495, -75.57774116799965)",College graduate,EDU,EDUCOGRAD
2013,2013,DE,Delaware,34.6,Some college or technical school,"(39.008830667000495, -75.57774116799965)",Some college or technical school,EDU,EDUCOTEC
2013,2013,DE,Delaware,39.3,Less than high school,"(39.008830667000495, -75.57774116799965)",Less than high school,EDU,EDUHS
2013,2013,DE,Delaware,29.8,High school graduate,"(39.008830667000495, -75.57774116799965)",High school graduate,EDU,EDUHSGRAD
2013,2013,DE,Delaware,24.7,College graduate,"(39.008830667000495, -75.57774116799965)",College graduate,EDU,EDUCOGRAD
2014,2014,DE,Delaware,33,Some college or technical school,"(39.008830667000495, -75.57774116799965)",Some college or technical school,EDU,EDUCOTEC
2014,2014,DE,Delaware,30.8,Less than high school,"(39.008830667000495, -75.57774116799965)",Less than high school,EDU,EDUHS
2014,2014,DE,Delaware,32.7,High school graduate,"(39.008830667000495, -75.57774116799965)",High school graduate,EDU,EDUHSGRAD
2014,2014,DE,Delaware,25.2,College graduate,"(39.008830667000495, -75.57774116799965)",College graduate,EDU,EDUCOGRAD
2015,2015,DE,Delaware,29.2,Some college or technical school,"(39.008830667000495, -75.57774116799965)",Some college or technical school,EDU,EDUCOTEC
2015,2015,DE,Delaware,36.1,Less than high school,"(39.008830667000495, -75.57774116799965)",Less than high school,EDU,EDUHS
2015,2015,DE,Delaware,31.4,High school graduate,"(39.008830667000495, -75.57774116799965)",High school graduate,EDU,EDUHSGRAD
2015,2015,DE,Delaware,25.6,College graduate,"(39.008830667000495, -75.57774116799965)",College graduate,EDU,EDUCOGRAD
2011,2011,DC,District of Columbia,31,Some college or technical school,"(38.89037138500049, -77.03196112699965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,DC,District of Columbia,39.7,Less than high school,"(38.89037138500049, -77.03196112699965)",Less than high school,EDU,EDUHS
2011,2011,DC,District of Columbia,33,High school graduate,"(38.89037138500049, -77.03196112699965)",High school graduate,EDU,EDUHSGRAD
2011,2011,DC,District of Columbia,11.9,College graduate,"(38.89037138500049, -77.03196112699965)",College graduate,EDU,EDUCOGRAD
2012,2012,DC,District of Columbia,27.8,Some college or technical school,"(38.89037138500049, -77.03196112699965)",Some college or technical school,EDU,EDUCOTEC
2012,2012,DC,District of Columbia,31.6,Less than high school,"(38.89037138500049, -77.03196112699965)",Less than high school,EDU,EDUHS
2012,2012,DC,District of Columbia,32.3,High school graduate,"(38.89037138500049, -77.03196112699965)",High school graduate,EDU,EDUHSGRAD
2012,2012,DC,District of Columbia,12,College graduate,"(38.89037138500049, -77.03196112699965)",College graduate,EDU,EDUCOGRAD
2013,2013,DC,District of Columbia,27.7,Some college or technical school,"(38.89037138500049, -77.03196112699965)",Some college or technical school,EDU,EDUCOTEC
2013,2013,DC,District of Columbia,37.8,Less than high school,"(38.89037138500049, -77.03196112699965)",Less than high school,EDU,EDUHS
2013,2013,DC,District of Columbia,31.3,High school graduate,"(38.89037138500049, -77.03196112699965)",High school graduate,EDU,EDUHSGRAD
2013,2013,DC,District of Columbia,13.7,College graduate,"(38.89037138500049, -77.03196112699965)",College graduate,EDU,EDUCOGRAD
2014,2014,DC,District of Columbia,27.3,Some college or technical school,"(38.89037138500049, -77.03196112699965)",Some college or technical school,EDU,EDUCOTEC
2014,2014,DC,District of Columbia,37.5,Less than high school,"(38.89037138500049, -77.03196112699965)",Less than high school,EDU,EDUHS
2014,2014,DC,District of Columbia,30.1,High school graduate,"(38.89037138500049, -77.03196112699965)",High school graduate,EDU,EDUHSGRAD
2014,2014,DC,District of Columbia,12.6,College graduate,"(38.89037138500049, -77.03196112699965)",College graduate,EDU,EDUCOGRAD
2015,2015,DC,District of Columbia,28.8,Some college or technical school,"(38.89037138500049, -77.03196112699965)",Some college or technical school,EDU,EDUCOTEC
2015,2015,DC,District of Columbia,40.3,Less than high school,"(38.89037138500049, -77.03196112699965)",Less than high school,EDU,EDUHS
2015,2015,DC,District of Columbia,30.2,High school graduate,"(38.89037138500049, -77.03196112699965)",High school graduate,EDU,EDUHSGRAD
2015,2015,DC,District of Columbia,12.7,College graduate,"(38.89037138500049, -77.03196112699965)",College graduate,EDU,EDUCOGRAD
2011,2011,FL,Florida,27.4,Some college or technical school,"(28.932040377000476, -81.92896053899966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,FL,Florida,32.7,Less than high school,"(28.932040377000476, -81.92896053899966)",Less than high school,EDU,EDUHS
2011,2011,FL,Florida,27.5,High school graduate,"(28.932040377000476, -81.92896053899966)",High school graduate,EDU,EDUHSGRAD
2011,2011,FL,Florida,21.1,College graduate,"(28.932040377000476, -81.92896053899966)",College graduate,EDU,EDUCOGRAD
2012,2012,FL,Florida,24.3,Some college or technical school,"(28.932040377000476, -81.92896053899966)",Some college or technical school,EDU,EDUCOTEC
2012,2012,FL,Florida,25.9,Less than high school,"(28.932040377000476, -81.92896053899966)",Less than high school,EDU,EDUHS
2012,2012,FL,Florida,28.1,High school graduate,"(28.932040377000476, -81.92896053899966)",High school graduate,EDU,EDUHSGRAD
2012,2012,FL,Florida,22.5,College graduate,"(28.932040377000476, -81.92896053899966)",College graduate,EDU,EDUCOGRAD
2013,2013,FL,Florida,26.5,Some college or technical school,"(28.932040377000476, -81.92896053899966)",Some college or technical school,EDU,EDUCOTEC
2013,2013,FL,Florida,29.4,Less than high school,"(28.932040377000476, -81.92896053899966)",Less than high school,EDU,EDUHS
2013,2013,FL,Florida,28.4,High school graduate,"(28.932040377000476, -81.92896053899966)",High school graduate,EDU,EDUHSGRAD
2013,2013,FL,Florida,21.8,College graduate,"(28.932040377000476, -81.92896053899966)",College graduate,EDU,EDUCOGRAD
2014,2014,FL,Florida,28.1,Some college or technical school,"(28.932040377000476, -81.92896053899966)",Some college or technical school,EDU,EDUCOTEC
2014,2014,FL,Florida,29.5,Less than high school,"(28.932040377000476, -81.92896053899966)",Less than high school,EDU,EDUHS
2014,2014,FL,Florida,27.4,High school graduate,"(28.932040377000476, -81.92896053899966)",High school graduate,EDU,EDUHSGRAD
2014,2014,FL,Florida,20.2,College graduate,"(28.932040377000476, -81.92896053899966)",College graduate,EDU,EDUCOGRAD
2015,2015,FL,Florida,28.3,Some college or technical school,"(28.932040377000476, -81.92896053899966)",Some college or technical school,EDU,EDUCOTEC
2015,2015,FL,Florida,28.7,Less than high school,"(28.932040377000476, -81.92896053899966)",Less than high school,EDU,EDUHS
2015,2015,FL,Florida,29,High school graduate,"(28.932040377000476, -81.92896053899966)",High school graduate,EDU,EDUHSGRAD
2015,2015,FL,Florida,21.3,College graduate,"(28.932040377000476, -81.92896053899966)",College graduate,EDU,EDUCOGRAD
2011,2011,GA,Georgia,28.6,Some college or technical school,"(32.83968109300048, -83.62758034599966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,GA,Georgia,34.1,Less than high school,"(32.83968109300048, -83.62758034599966)",Less than high school,EDU,EDUHS
2011,2011,GA,Georgia,29.5,High school graduate,"(32.83968109300048, -83.62758034599966)",High school graduate,EDU,EDUHSGRAD
2011,2011,GA,Georgia,21.4,College graduate,"(32.83968109300048, -83.62758034599966)",College graduate,EDU,EDUCOGRAD
2012,2012,GA,Georgia,31,Some college or technical school,"(32.83968109300048, -83.62758034599966)",Some college or technical school,EDU,EDUCOTEC
2012,2012,GA,Georgia,28.4,Less than high school,"(32.83968109300048, -83.62758034599966)",Less than high school,EDU,EDUHS
2012,2012,GA,Georgia,32.6,High school graduate,"(32.83968109300048, -83.62758034599966)",High school graduate,EDU,EDUHSGRAD
2012,2012,GA,Georgia,23.2,College graduate,"(32.83968109300048, -83.62758034599966)",College graduate,EDU,EDUCOGRAD
2013,2013,GA,Georgia,30.8,Some college or technical school,"(32.83968109300048, -83.62758034599966)",Some college or technical school,EDU,EDUCOTEC
2013,2013,GA,Georgia,35.1,Less than high school,"(32.83968109300048, -83.62758034599966)",Less than high school,EDU,EDUHS
2013,2013,GA,Georgia,32,High school graduate,"(32.83968109300048, -83.62758034599966)",High school graduate,EDU,EDUHSGRAD
2013,2013,GA,Georgia,24.6,College graduate,"(32.83968109300048, -83.62758034599966)",College graduate,EDU,EDUCOGRAD
2014,2014,GA,Georgia,30.6,Some college or technical school,"(32.83968109300048, -83.62758034599966)",Some college or technical school,EDU,EDUCOTEC
2014,2014,GA,Georgia,37.7,Less than high school,"(32.83968109300048, -83.62758034599966)",Less than high school,EDU,EDUHS
2014,2014,GA,Georgia,30.8,High school graduate,"(32.83968109300048, -83.62758034599966)",High school graduate,EDU,EDUHSGRAD
2014,2014,GA,Georgia,25.6,College graduate,"(32.83968109300048, -83.62758034599966)",College graduate,EDU,EDUCOGRAD
2015,2015,GA,Georgia,33,Some college or technical school,"(32.83968109300048, -83.62758034599966)",Some college or technical school,EDU,EDUCOTEC
2015,2015,GA,Georgia,33.6,Less than high school,"(32.83968109300048, -83.62758034599966)",Less than high school,EDU,EDUHS
2015,2015,GA,Georgia,32.4,High school graduate,"(32.83968109300048, -83.62758034599966)",High school graduate,EDU,EDUHSGRAD
